exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp2,9,1,2,0.5→1,mm-kl,0.6031746031746031,0.0005472707879408602,0.9928019610731992
exp2,9,1,2,0.5→1,mm-l2,0.6243386243386243,0.0004777328032012788,0.9871536188501084
exp2,9,1,2,0.5→1,partial,0.42857142857142855,0.00011106963592436762,0.6999999999999997
exp2,9,2,3,1→1.5,entropic-kl,0.5209125475285171,0.003048986419073525,0.8493060878016689
exp2,9,2,3,1→1.5,mm-kl,0.4866920152091255,0.0005397652533963922,0.9913229348825622
exp2,9,2,3,1→1.5,mm-l2,0.5361216730038023,0.0004186750243819761,0.9813350627983569
exp2,9,2,3,1→1.5,partial,0.41064638783269963,8.935096032235673e-05,0.6999999999999997
exp2,9,3,4,1.5→2,entropic-kl,0.4309859154929577,0.003097847830623777,0.8512805049582843
exp2,9,3,4,1.5→2,mm-kl,0.49859154929577465,0.00042759028003016425,0.9948540289502611
exp2,9,3,4,1.5→2,mm-l2,0.48732394366197185,0.0003284706326244,0.9855588192258349
exp2,9,3,4,1.5→2,partial,0.38028169014084506,8.200308162251407e-05,0.6999999999999998
